id,emotion,sentence,emotion_index,is_control
1,anger,I clenched my jaw when they ignored my warning again.,1,True
2,anger,Her dismissive tone made my blood boil.,2,False
3,anger,I slammed the door harder than I meant to.,3,False
4,anger,He cut in front of me and acted like nothing happened.,4,False
5,anger,I felt heat rise in my chest during the argument.,5,True
6,anger,They blamed me for a mistake I did not make.,6,False
7,anger,I could not hide my irritation any longer.,7,False
8,anger,The unfair decision ruined the rest of my day.,8,False
9,anger,I snapped when I heard the same excuse again.,9,False
10,anger,My hands tightened into fists as he laughed at me.,10,True
11,anger,"Nobody listened until it was too late, and I struggled to stay calm.",11,False
12,anger,"She kept interrupting me, and I finally lost patience.",12,False
13,anger,The broken promise stirred resentment in me.,13,False
14,anger,I wanted to shout when they changed the plan without asking.,14,False
15,anger,His smug smile made me look away before I reacted.,15,True
16,anger,My temper flared when I saw the damage.,16,False
17,anger,They treated my work like it did not matter.,17,False
18,anger,I was too irritated to answer calmly.,18,False
19,anger,Every rude comment pushed me closer to exploding.,19,False
20,anger,I glared at the screen after reading the email.,20,True
21,anger,The accusation felt insulting and cruel.,21,False
22,anger,I shoved the pen aside and folded my arms.,22,False
23,anger,I could feel tension spreading through my whole body.,23,False
24,anger,She spoke to me as if I were a child.,24,False
25,anger,"He took credit for my idea, and I could barely contain myself.",25,True
26,anger,That injustice stayed with me for the rest of the day.,26,False
27,anger,I bit back a harsh response.,27,False
28,anger,The noise next door got under my skin all evening.,28,False
29,anger,They dismissed my concerns without a second thought.,29,False
30,anger,"He lied to my face, and I knew it.",30,True
31,anger,I stormed out before I said something worse.,31,False
32,anger,My patience disappeared the moment they mocked me.,32,False
33,anger,I felt offended by the way they laughed.,33,False
34,anger,The constant delays made everyone irritable.,34,False
35,anger,I could not forgive how disrespectful that sounded.,35,True
36,anger,I argued back with more force than I intended.,36,False
37,anger,Their selfish behavior pushed me to my limit.,37,False
38,anger,I was seething in silence through the whole meeting.,38,False
39,anger,The way he smirked made me want to scream.,39,False
40,anger,I felt wronged and deeply upset.,40,True
41,anger,I raised my voice before I could stop myself.,41,False
42,anger,The unfair rule made me resentful.,42,False
43,anger,I had to walk away before I said something regrettable.,43,False
44,anger,She ignored every boundary I tried to set.,44,False
45,anger,My jaw tightened as I listened to them talk.,45,True
46,anger,I could not stand their arrogance anymore.,46,False
47,anger,"Every word they said made it harder to stay calm.
",47,False
48,anger,I muttered under my breath after the call.,48,False
49,anger,It drove me crazy that they kept pretending nothing happened.,49,False
50,anger,I felt attacked and responded sharply.,50,False
51,fear,My heart raced when I heard footsteps behind me.,1,True
52,fear,I froze when the lights suddenly went out.,2,False
53,fear,The strange noise downstairs left me frozen in place.,3,False
54,fear,I felt a knot in my stomach before the results were announced.,4,False
55,fear,"Her silence made my mind race through worst-case scenarios.
",5,True
56,fear,I hesitated before opening the message.,6,False
57,fear,The storm outside kept me awake all night.,7,False
58,fear,I backed away when the dog growled at me.,8,False
59,fear,The sound of footsteps behind me made the street feel much darker.,9,False
60,fear,I could not stop imagining the worst.,10,True
61,fear,My hands trembled as I reached for the door.,11,False
62,fear,I felt uneasy walking home alone in the dark.,12,False
63,fear,I stared at the phone before answering the doctor's call.,13,False
64,fear,My heart started racing when I could not find my passport.,14,False
65,fear,The sudden scream made me jump.,15,True
66,fear,The possibility of choosing wrong kept me awake at night.,16,False
67,fear,A chill ran through me when I saw the empty street.,17,False
68,fear,I kept checking the lock because I felt unsafe.,18,False
69,fear,My breath became shallow during the turbulence.,19,False
70,fear,"Every passing minute made it seem more likely that they had gone without me.
",20,True
71,fear,I could not shake the feeling that something was wrong.,21,False
72,fear,My chest tightened as the situation unfolded.,22,False
73,fear,I hesitated because everything about the place felt wrong.,23,False
74,fear,The uncertainty was harder to bear than the truth.,24,False
75,fear,I felt exposed standing there alone.,25,True
76,fear,Her angry expression made me step back.,26,False
77,fear,I froze when I realized I might be in serious danger.,27,False
78,fear,The alarm sound made my stomach drop.,28,False
79,fear,I kept second-guessing myself before making a choice.,29,False
80,fear,I could not relax while waiting for the test results.,30,True
81,fear,The dark hallway made me deeply uncomfortable.,31,False
82,fear,I flinched when someone touched my shoulder unexpectedly.,32,False
83,fear,The thought of losing him made my stomach turn.,33,False
84,fear,I felt trapped when the elevator stopped.,34,False
85,fear,The realization hit me so suddenly that I could not react.,35,True
86,fear,I hoped my name would not be called next.,36,False
87,fear,I held my breath while waiting for the answer.,37,False
88,fear,I could not bring myself to look down from the bridge.,38,False
89,fear,I kept imagining that something bad was about to happen.,39,False
90,fear,My whole body tensed when I heard the crash.,40,True
91,fear,The sudden noise made me jump out of my seat.,41,False
92,fear,I was shaking before I went on stage.,42,False
93,fear,Waiting in the hospital corridor made every minute feel endless.,43,False
94,fear,I did not want to be alone after that nightmare.,44,False
95,fear,The possibility of failure kept bothering me.,45,True
96,fear,I swallowed hard when the phone rang that late.,46,False
97,fear,"I kept waiting for someone to confront me about it.
",47,False
98,fear,The warning message made my heart race.,48,False
99,fear,I could not stop thinking about what might go wrong.,49,False
100,fear,The tension in the room made me uneasy.,50,False
101,happiness,I found myself looking forward to everything that came next.,1,True
102,happiness,The warmth of the sun seemed to melt away the tension of the day.,2,False
103,happiness,I did not want the day to end.,3,False
104,happiness,"She hugged me, and suddenly everything felt brighter.",4,False
105,happiness,"I wished the afternoon with my friends would last longer.
",5,True
106,happiness,The good news brightened my entire day.,6,False
107,happiness,I could not stop grinning after the call.,7,False
108,happiness,He looked so proud of me that I felt warm inside.,8,False
109,happiness,I danced around the kitchen while dinner was cooking.,9,False
110,happiness,The surprise gift made my whole day.,10,True
111,happiness,"I sat by the lake longer than I had planned.
",11,False
112,happiness,The gathering left me feeling closer to everyone.,12,False
113,happiness,The small success lifted my mood immediately.,13,False
114,happiness,I woke up feeling refreshed and optimistic.,14,False
115,happiness,"Her message was exactly what I needed to hear.
",15,True
116,happiness,The moment felt complete.,16,False
117,happiness,"People nearby seemed drawn into the moment.
",17,False
118,happiness,Seeing them waiting for me was the best part of the trip.,18,False
119,happiness,Everything seemed beautiful this morning.,19,False
120,happiness,I couldn't stop smiling after hearing the good news.,20,True
121,happiness,The compliment lifted my mood immediately.,21,False
122,happiness,I loved the feeling of warm bread in my hands.,22,False
123,happiness,I kept looking forward to what was waiting for me.,23,False
124,happiness,The reunion made the whole trip worthwhile.,24,False
125,happiness,I sat there feeling no need to be anywhere else.,25,True
126,happiness,"She said yes, and I nearly cried.",26,False
127,happiness,I felt lighthearted for the first time in weeks.,27,False
128,happiness,The music put me in a wonderful mood.,28,False
129,happiness,Being included meant a lot to me.,29,False
130,happiness,"The garden made me want to stay a little longer.
",30,True
131,happiness,I felt lucky to be surrounded by people I love.,31,False
132,happiness,"Nothing seemed urgent that afternoon.
",32,False
133,happiness,"The joke stayed with me long after the conversation moved on.
",33,False
134,happiness,The good weather made everything feel easier.,34,False
135,happiness,I opened the package as soon as I saw it.,35,True
136,happiness,Her kindness instantly lifted my mood.,36,False
137,happiness,I enjoyed every minute of the trip.,37,False
138,happiness,The sparkling water and fresh air made me feel alive.,38,False
139,happiness,A wave of relief washed over me all at once.,39,False
140,happiness,Their support gave me confidence to keep going.,40,True
141,happiness,"The final result was everything I had been working toward.
",41,False
142,happiness,The moment felt simple and perfect.,42,False
143,happiness,The moment felt worth remembering.,43,False
144,happiness,The kind gesture stayed with me all day.,44,False
145,happiness,"The day passed more smoothly than usual.
",45,True
146,happiness,We sang together and felt completely carefree.,46,False
147,happiness,"I would relive that evening if I could.
",47,False
148,happiness,I felt bright and hopeful after our conversation.,48,False
149,happiness,Spending the day with my friends left me glowing.,49,False
150,happiness,"That evening remains one of my favorite memories.
",50,False
151,sadness,I stared at the empty room and felt my chest sink.,1,True
152,sadness,Her goodbye left me feeling hollow.,2,False
